instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-t59f11xx_250,3993006,3883851,20.6477,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59f11xx_250,3993006,3880978,10.4422,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t59n11xx_250,825608,808239,24.93,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59n11xx_250,825608,793971,13.2284,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65b11xx_250,17273996,16897717,28.9676,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65b11xx_250,17273996,16718091,16.062,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65d11xx_250,9351696,9085777,28.3873,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65d11xx_250,9351696,9028951,12.6133,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65f11xx_250,8409567,8236549,31.5844,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65f11xx_250,8409567,8164478,14.4898,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65l11xx_250,666254,649901,17.5056,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65l11xx_250,666254,645199,9.36533,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65n11xx_250,1429362,1397535,26.4461,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65n11xx_250,1429362,1373472,9.69605,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t69r11xx_250,31815927,31211784,26.699,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t69r11xx_250,31815927,30667517,10.8893,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t70b11xx_250,25403045,24736667,32.851,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t70b11xx_250,25403045,24374734,13.2367,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t70d11xn_250,15207063,14817330,28.7505,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t70d11xn_250,15207063,14645310,11.0439,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t70d11xx_250,16040574,15682299,31.758,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t70d11xx_250,16040574,15330664,11.7378,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t70f11xx_250,13586135,13294714,24.6858,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t70f11xx_250,13586135,13151179,11.1124,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t70l11xx_250,1113128,1085488,22.4051,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t70l11xx_250,1113128,1072327,10.0999,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t70n11xx_250,2444390,2396545,32.3966,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t70n11xx_250,2444390,2327994,10.6421,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t74d11xx_250,24430250,23992306,31.6961,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t74d11xx_250,24430250,23688025,16.5385,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t75d11xx_250,25017059,24525487,37.663,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t75d11xx_250,25017059,24300295,16.2302,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t75e11xx_250,106873878,104353966,33.8039,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t75e11xx_250,106873878,103337365,20.1804,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t75k11xx_250,4093849,3999406,29.2357,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t75k11xx_250,4093849,3943616,11.7718,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t75n11xx_250,4524942,4424645,32.6062,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t75n11xx_250,4524942,4359399,12.6636,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n54_250,2098726,2036617,29.3967,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n54_250,2098726,2040363,15.05,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n58_250,2906657,2834314,28.2267,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n58_250,2906657,2811647,12.299,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n62_250,4142745,4046581,31.2576,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n62_250,4142745,3996878,12.7629,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n66_250,5370404,5251046,27.0161,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n66_250,5370404,5211840,12.4411,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n67_250,6324858,6201453,30.4379,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n67_250,6324858,6171285,15.7149,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56n72_250,11149706,10903331,29.0169,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56n72_250,11149706,10778144,11.7879,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r54_250,2387349,2339745,29.9296,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r54_250,2387349,2293320,12.0759,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r58_250,3060323,2978688,26.5632,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r58_250,3060323,2936410,11.0064,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r66_250,4948414,4832599,26.6267,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r66_250,4948414,4779103,9.83509,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r67_250,5289658,5161349,23.6779,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r67_250,5289658,5123741,11.7329,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-tiw56r72_250,7451579,7312646,24.696,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-tiw56r72_250,7451579,7196928,12.4367,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
