instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-t74d11xx_150,9396044,9120075,0.316111,vnd,best,['exchange'],c_and_w,
N-t74d11xx_150,9396044,8970232,0.568274,vnd,best,['insert'],random,
N-t74d11xx_150,9396044,9147744,0.584748,vnd,best,['insert'],c_and_w,
N-t75d11xx_150,9642140,6114949,8.9e-05,vnd,first,['transpose'],random,
N-t75d11xx_150,9642140,7563733,7.1e-05,vnd,first,['transpose'],c_and_w,
N-t75d11xx_150,9642140,9389095,1.59802,vnd,first,['exchange'],random,
N-t75d11xx_150,9642140,9389135,1.60665,vnd,first,['exchange'],c_and_w,
N-t75d11xx_150,9642140,9211054,0.634395,vnd,first,['insert'],random,
N-t75d11xx_150,9642140,9317369,0.731044,vnd,first,['insert'],c_and_w,
N-t75d11xx_150,9642140,6173644,0.000242,vnd,best,['transpose'],random,
N-t75d11xx_150,9642140,7588126,0.000208,vnd,best,['transpose'],c_and_w,
N-t75d11xx_150,9642140,9232902,0.27613,vnd,best,['exchange'],random,
N-t75d11xx_150,9642140,9298657,0.315807,vnd,best,['exchange'],c_and_w,
N-t75d11xx_150,9642140,9314071,0.502427,vnd,best,['insert'],random,
N-t75d11xx_150,9642140,9413670,0.550025,vnd,best,['insert'],c_and_w,
N-t75e11xx_150,41570193,26841183,8.1e-05,vnd,first,['transpose'],random,
N-t75e11xx_150,41570193,32839998,9.7e-05,vnd,first,['transpose'],c_and_w,
N-t75e11xx_150,41570193,40263882,1.60526,vnd,first,['exchange'],random,
N-t75e11xx_150,41570193,40673359,1.5466,vnd,first,['exchange'],c_and_w,
N-t75e11xx_150,41570193,39441611,0.545684,vnd,first,['insert'],random,
N-t75e11xx_150,41570193,39526638,0.503984,vnd,first,['insert'],c_and_w,
N-t75e11xx_150,41570193,26969136,0.00022,vnd,best,['transpose'],random,
N-t75e11xx_150,41570193,32688411,0.000227,vnd,best,['transpose'],c_and_w,
N-t75e11xx_150,41570193,40126202,0.341608,vnd,best,['exchange'],random,
N-t75e11xx_150,41570193,39944204,0.268374,vnd,best,['exchange'],c_and_w,
N-t75e11xx_150,41570193,40125730,0.591757,vnd,best,['insert'],random,
N-t75e11xx_150,41570193,40599059,0.500733,vnd,best,['insert'],c_and_w,
N-t75k11xx_150,1541596,996451,7.4e-05,vnd,first,['transpose'],random,
N-t75k11xx_150,1541596,1133450,6.4e-05,vnd,first,['transpose'],c_and_w,
N-t75k11xx_150,1541596,1500214,1.55658,vnd,first,['exchange'],random,
N-t75k11xx_150,1541596,1504582,1.46077,vnd,first,['exchange'],c_and_w,
N-t75k11xx_150,1541596,1468882,0.23245,vnd,first,['insert'],random,
N-t75k11xx_150,1541596,1477164,0.521286,vnd,first,['insert'],c_and_w,
N-t75k11xx_150,1541596,1006298,0.000213,vnd,best,['transpose'],random,
