instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t70f11xx_150,5150097,c_and_w,first,['exchange'],1010858,1.19183,
N-t70f11xx_150,5150097,random,first,['insert'],1775831,0.536598,
N-t70f11xx_150,5150097,c_and_w,first,['insert'],958639,0.743895,
N-t70f11xx_150,5150097,random,best,['transpose'],64023,0.00024,
N-t70f11xx_150,5150097,c_and_w,best,['transpose'],72291,0.000218,
N-t70f11xx_150,5150097,random,best,['exchange'],1748006,0.361727,
N-t70f11xx_150,5150097,c_and_w,best,['exchange'],982868,0.404955,
N-t70f11xx_150,5150097,random,best,['insert'],1749703,0.708621,
N-t70f11xx_150,5150097,c_and_w,best,['insert'],1020097,0.751162,
N-t70l11xx_150,436862,random,first,['transpose'],3406,5e-05,
N-t70l11xx_150,436862,c_and_w,first,['transpose'],9524,4.9e-05,
N-t70l11xx_150,436862,random,first,['exchange'],155037,1.68809,
N-t70l11xx_150,436862,c_and_w,first,['exchange'],117994,1.79213,
N-t70l11xx_150,436862,random,first,['insert'],146057,0.474589,
N-t70l11xx_150,436862,c_and_w,first,['insert'],116562,0.460578,
N-t70l11xx_150,436862,random,best,['transpose'],3406,0.000108,
N-t70l11xx_150,436862,c_and_w,best,['transpose'],9533,0.000103,
N-t70l11xx_150,436862,random,best,['exchange'],151885,0.320978,
N-t70l11xx_150,436862,c_and_w,best,['exchange'],111339,0.346058,
N-t70l11xx_150,436862,random,best,['insert'],147711,0.615976,
N-t70l11xx_150,436862,c_and_w,best,['insert'],113859,0.637108,
N-t70n11xx_150,948913,random,first,['transpose'],8006,0.000111,
N-t70n11xx_150,948913,c_and_w,first,['transpose'],7284,4.3e-05,
N-t70n11xx_150,948913,random,first,['exchange'],332420,2.25659,
N-t70n11xx_150,948913,c_and_w,first,['exchange'],234118,1.59585,
N-t70n11xx_150,948913,random,first,['insert'],317047,0.569246,
N-t70n11xx_150,948913,c_and_w,first,['insert'],217986,0.749428,
N-t70n11xx_150,948913,random,best,['transpose'],14941,0.000194,
N-t70n11xx_150,948913,c_and_w,best,['transpose'],7592,0.000162,
N-t70n11xx_150,948913,random,best,['exchange'],324953,0.384072,
N-t70n11xx_150,948913,c_and_w,best,['exchange'],225198,0.368369,
N-t70n11xx_150,948913,random,best,['insert'],334877,0.756825,
N-t70n11xx_150,948913,c_and_w,best,['insert'],214399,0.762628,
N-t74d11xx_150,9396044,random,first,['transpose'],171363,0.000132,
N-t74d11xx_150,9396044,c_and_w,first,['transpose'],110650,0.000136,
N-t74d11xx_150,9396044,random,first,['exchange'],2988969,2.1608,
N-t74d11xx_150,9396044,c_and_w,first,['exchange'],1773354,1.88408,
N-t74d11xx_150,9396044,random,first,['insert'],2952864,0.680345,
N-t74d11xx_150,9396044,c_and_w,first,['insert'],1679692,0.834046,
N-t74d11xx_150,9396044,random,best,['transpose'],193522,0.000334,
N-t74d11xx_150,9396044,c_and_w,best,['transpose'],123069,0.000327,
N-t74d11xx_150,9396044,random,best,['exchange'],2893849,0.357547,
N-t74d11xx_150,9396044,c_and_w,best,['exchange'],1730666,0.364666,
N-t74d11xx_150,9396044,random,best,['insert'],2839828,0.712191,
N-t74d11xx_150,9396044,c_and_w,best,['insert'],1758335,0.8691,
N-t75d11xx_150,9642140,random,first,['transpose'],162746,0.000124,
N-t75d11xx_150,9642140,c_and_w,first,['transpose'],108391,8.3e-05,
N-t75d11xx_150,9642140,random,first,['exchange'],3436892,2.17674,
