instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-t70b11xx_250,25403045,c_and_w,first,"['transpose', 'insert', 'exchange']",4721618,9.32579,
N-t70d11xn_250,15207063,c_and_w,first,"['transpose', 'exchange', 'insert']",2700235,25.0024,
N-t70d11xn_250,15207063,c_and_w,first,"['transpose', 'insert', 'exchange']",2603868,12.3247,
N-t70d11xx_250,16040574,c_and_w,first,"['transpose', 'exchange', 'insert']",3064275,28.6125,
N-t70d11xx_250,16040574,c_and_w,first,"['transpose', 'insert', 'exchange']",2712640,10.3941,
N-t70f11xx_250,13586135,c_and_w,first,"['transpose', 'exchange', 'insert']",2724040,22.5236,
N-t70f11xx_250,13586135,c_and_w,first,"['transpose', 'insert', 'exchange']",2615792,10.06,
N-t70l11xx_250,1113128,c_and_w,first,"['transpose', 'exchange', 'insert']",282197,20.6402,
N-t70l11xx_250,1113128,c_and_w,first,"['transpose', 'insert', 'exchange']",271749,9.36395,
N-t70n11xx_250,2444390,c_and_w,first,"['transpose', 'exchange', 'insert']",509743,25.3367,
N-t70n11xx_250,2444390,c_and_w,first,"['transpose', 'insert', 'exchange']",456003,10.2881,
N-t74d11xx_250,24430250,c_and_w,first,"['transpose', 'exchange', 'insert']",4691098,28.0653,
N-t74d11xx_250,24430250,c_and_w,first,"['transpose', 'insert', 'exchange']",4416195,13.6675,
N-t75d11xx_250,25017059,c_and_w,first,"['transpose', 'exchange', 'insert']",4799074,30.7242,
N-t75d11xx_250,25017059,c_and_w,first,"['transpose', 'insert', 'exchange']",4573882,13.7821,
N-t75e11xx_250,106873878,c_and_w,first,"['transpose', 'exchange', 'insert']",23673606,27.1414,
N-t75e11xx_250,106873878,c_and_w,first,"['transpose', 'insert', 'exchange']",22657005,16.9514,
N-t75k11xx_250,4093849,c_and_w,first,"['transpose', 'exchange', 'insert']",831795,26.0505,
N-t75k11xx_250,4093849,c_and_w,first,"['transpose', 'insert', 'exchange']",768471,9.93424,
