algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,first,['exchange'],random,N-be75eec_150,318960,3396593,0.365049,
vnd,first,['exchange'],c_and_w,N-be75eec_150,318960,3379429,0.306072,
vnd,first,['insert'],random,N-be75eec_150,318960,3328604,0.14592,
vnd,first,['insert'],c_and_w,N-be75eec_150,318960,3333196,0.13503,
vnd,best,['transpose'],random,N-be75eec_150,318960,2182589,2.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,318960,2660170,7.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,318960,3373535,0.067359,
vnd,best,['exchange'],c_and_w,N-be75eec_150,318960,3346308,0.059382,
vnd,best,['insert'],random,N-be75eec_150,318960,3369650,0.133069,
vnd,best,['insert'],c_and_w,N-be75eec_150,318960,3381254,0.145791,
vnd,first,['transpose'],random,N-be75eec_150,6453836,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,6453836,2657351,3e-05,
vnd,first,['exchange'],random,N-be75eec_150,6453836,3396593,0.380453,
vnd,first,['exchange'],c_and_w,N-be75eec_150,6453836,3379429,0.299865,
vnd,first,['insert'],random,N-be75eec_150,6453836,3328604,0.130984,
vnd,first,['insert'],c_and_w,N-be75eec_150,6453836,3333196,0.131812,
vnd,best,['transpose'],random,N-be75eec_150,6453836,2182589,6.8e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,6453836,2660170,7.4e-05,
vnd,best,['exchange'],random,N-be75eec_150,6453836,3373535,0.064969,
vnd,best,['exchange'],c_and_w,N-be75eec_150,6453836,3346308,0.059665,
vnd,best,['insert'],random,N-be75eec_150,6453836,3369650,0.127258,
vnd,best,['insert'],c_and_w,N-be75eec_150,6453836,3381254,0.127779,
vnd,first,['transpose'],random,N-be75eec_150,3559347,2169797,1.2e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,3559347,2657351,1.1e-05,
vnd,first,['exchange'],random,N-be75eec_150,3559347,3396593,0.378933,
vnd,first,['exchange'],c_and_w,N-be75eec_150,3559347,3379429,0.276874,
vnd,first,['insert'],random,N-be75eec_150,3559347,3328604,0.161233,
vnd,first,['insert'],c_and_w,N-be75eec_150,3559347,3333196,0.126629,
vnd,best,['transpose'],random,N-be75eec_150,3559347,2182589,7.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,3559347,2660170,7.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,3559347,3373535,0.073605,
vnd,best,['exchange'],c_and_w,N-be75eec_150,3559347,3346308,0.058084,
vnd,best,['insert'],random,N-be75eec_150,3559347,3369650,0.118574,
vnd,best,['insert'],c_and_w,N-be75eec_150,3559347,3381254,0.132785,
vnd,first,['transpose'],random,N-be75eec_150,3159326,2169797,2.8e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,3159326,2657351,3e-05,
vnd,first,['exchange'],random,N-be75eec_150,3159326,3396593,0.385602,
vnd,first,['exchange'],c_and_w,N-be75eec_150,3159326,3379429,0.30315,
vnd,first,['insert'],random,N-be75eec_150,3159326,3328604,0.158912,
vnd,first,['insert'],c_and_w,N-be75eec_150,3159326,3333196,0.135944,
vnd,best,['transpose'],random,N-be75eec_150,3159326,2182589,2.6e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,3159326,2660170,7.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,3159326,3373535,0.081768,
vnd,best,['exchange'],c_and_w,N-be75eec_150,3159326,3346308,0.066444,
vnd,best,['insert'],random,N-be75eec_150,3159326,3369650,0.116398,
vnd,best,['insert'],c_and_w,N-be75eec_150,3159326,3381254,0.121286,
vnd,first,['transpose'],random,N-be75eec_150,253396,2169797,1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,253396,2657351,3.1e-05,
vnd,first,['exchange'],random,N-be75eec_150,253396,3396593,0.351922,
vnd,first,['exchange'],c_and_w,N-be75eec_150,253396,3379429,0.293313,
vnd,first,['insert'],random,N-be75eec_150,253396,3328604,0.133839,
vnd,first,['insert'],c_and_w,N-be75eec_150,253396,3333196,0.146939,
vnd,best,['transpose'],random,N-be75eec_150,253396,2182589,6.8e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,253396,2660170,2.9e-05,
vnd,best,['exchange'],random,N-be75eec_150,253396,3373535,0.064913,
vnd,best,['exchange'],c_and_w,N-be75eec_150,253396,3346308,0.072205,
vnd,best,['insert'],random,N-be75eec_150,253396,3369650,0.123057,
vnd,best,['insert'],c_and_w,N-be75eec_150,253396,3381254,0.130815,
vnd,first,['transpose'],random,N-be75eec_150,550733,2169797,1.2e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,550733,2657351,3.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,550733,3396593,0.371459,
vnd,first,['exchange'],c_and_w,N-be75eec_150,550733,3379429,0.302204,
vnd,first,['insert'],random,N-be75eec_150,550733,3328604,0.139198,
vnd,first,['insert'],c_and_w,N-be75eec_150,550733,3333196,0.130725,
vnd,best,['transpose'],random,N-be75eec_150,550733,2182589,6.9e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,550733,2660170,7.4e-05,
vnd,best,['exchange'],random,N-be75eec_150,550733,3373535,0.069872,
vnd,best,['exchange'],c_and_w,N-be75eec_150,550733,3346308,0.059992,
vnd,best,['insert'],random,N-be75eec_150,550733,3369650,0.116395,
vnd,best,['insert'],c_and_w,N-be75eec_150,550733,3381254,0.124435,
vnd,first,['transpose'],random,N-be75eec_150,11855957,2169797,1.1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,11855957,2657351,4.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,11855957,3396593,0.375292,
vnd,first,['exchange'],c_and_w,N-be75eec_150,11855957,3379429,0.318049,
vnd,first,['insert'],random,N-be75eec_150,11855957,3328604,0.134283,
vnd,first,['insert'],c_and_w,N-be75eec_150,11855957,3333196,0.139365,
vnd,best,['transpose'],random,N-be75eec_150,11855957,2182589,7.3e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,11855957,2660170,7.2e-05,
vnd,best,['exchange'],random,N-be75eec_150,11855957,3373535,0.077231,
vnd,best,['exchange'],c_and_w,N-be75eec_150,11855957,3346308,0.065242,
vnd,best,['insert'],random,N-be75eec_150,11855957,3369650,0.116294,
vnd,best,['insert'],c_and_w,N-be75eec_150,11855957,3381254,0.123494,
vnd,first,['transpose'],random,N-be75eec_150,9647229,2169797,1.1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,9647229,2657351,3.8e-05,
vnd,first,['exchange'],random,N-be75eec_150,9647229,3396593,0.361763,
vnd,first,['exchange'],c_and_w,N-be75eec_150,9647229,3379429,0.296876,
vnd,first,['insert'],random,N-be75eec_150,9647229,3328604,0.13601,
vnd,first,['insert'],c_and_w,N-be75eec_150,9647229,3333196,0.127511,
vnd,best,['transpose'],random,N-be75eec_150,9647229,2182589,6.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,9647229,2660170,7.3e-05,
vnd,best,['exchange'],random,N-be75eec_150,9647229,3373535,0.074817,
vnd,best,['exchange'],c_and_w,N-be75eec_150,9647229,3346308,0.059576,
vnd,best,['insert'],random,N-be75eec_150,9647229,3369650,0.117124,
vnd,best,['insert'],c_and_w,N-be75eec_150,9647229,3381254,0.133919,
vnd,first,['transpose'],random,N-be75eec_150,5825147,2169797,1.2e-05,
