instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-tiw56n62_150,1626921,c_and_w,first,['insert'],311366,2.13647,
N-tiw56n62_150,1626921,random,best,['transpose'],36471,0.006306,
N-tiw56n62_150,1626921,c_and_w,best,['transpose'],30177,0.0073,
N-tiw56n62_150,1626921,random,best,['exchange'],546577,0.588365,
N-tiw56n62_150,1626921,c_and_w,best,['exchange'],313656,0.547275,
N-tiw56n62_150,1626921,random,best,['insert'],535201,1.7456,
N-tiw56n62_150,1626921,c_and_w,best,['insert'],331614,1.89516,
N-tiw56n66_150,2107619,random,first,['transpose'],46310,0.006024,
N-tiw56n66_150,2107619,c_and_w,first,['transpose'],32340,0.005939,
N-tiw56n66_150,2107619,random,first,['exchange'],729282,2.16749,
N-tiw56n66_150,2107619,c_and_w,first,['exchange'],450784,2.75072,
N-tiw56n66_150,2107619,random,first,['insert'],718450,1.53112,
N-tiw56n66_150,2107619,c_and_w,first,['insert'],406320,1.86486,
N-tiw56n66_150,2107619,random,best,['transpose'],66053,0.006881,
N-tiw56n66_150,2107619,c_and_w,best,['transpose'],52005,0.006677,
N-tiw56n66_150,2107619,random,best,['exchange'],730564,0.576815,
N-tiw56n66_150,2107619,c_and_w,best,['exchange'],391140,0.559222,
N-tiw56n66_150,2107619,random,best,['insert'],730910,1.95208,
N-tiw56n66_150,2107619,c_and_w,best,['insert'],434750,1.81119,
N-tiw56n67_150,2372926,random,first,['transpose'],12154,0.004536,
N-tiw56n67_150,2372926,c_and_w,first,['transpose'],19805,0.004845,
N-tiw56n67_150,2372926,random,first,['exchange'],725977,2.30551,
N-tiw56n67_150,2372926,c_and_w,first,['exchange'],518188,1.88161,
N-tiw56n67_150,2372926,random,first,['insert'],707678,1.76161,
N-tiw56n67_150,2372926,c_and_w,first,['insert'],496889,2.66599,
N-tiw56n67_150,2372926,random,best,['transpose'],19466,0.005805,
N-tiw56n67_150,2372926,c_and_w,best,['transpose'],24021,0.006337,
